# NAME LOW HIGH CATEGORY ILLEGAL DESCRIPTION_KEY
0 AGRICULTURAL_PRODUCTS 20 140 AGRICULTURE FALSE AGRI_DESC
1 ALGAE_BASED_FOODS 20 100 AGRICULTURE FALSE ALGAE_DESC
2 ANTIOXIDANTS 100 400 BIOLOGY FALSE ANTIOX_DESC
3 ARTIFICIAL_ORGANS 100 500 ADVANCED_TECHNOLOGY FALSE ARTIFICIAL_ORGANS_DESC
4 BIOLOGICAL_SAMPLES 40 200 BIOLOGY FALSE BIOLOGICAL_SAMPLES_DESC
5 BIOREACTORS 100 500 TECHNOLOGY FALSE BIOREACTORS_DESC
6 DATA_STORAGE_DEVICES 40 200 TECHNOLOGY FALSE DATA_STORAGE_DESC
7 DRUGS 100 500 HAZARDOUS_MATERIALS TRUE DRUGS_DESC
8 EXOSKELETONS 100 500 ADVANCED_TECHNOLOGY TRUE EXOSKELETONS_DESC
9 FIBER_OPTIC_CABLES 40 200 TECHNOLOGY FALSE FIBER_OPTIC_DESC
10 FOOD_REPLICATOR_CARTRIDGES 20 120 BIOLOGY FALSE FOOD_REPLICATOR_DESC
11 FUEL_ADDITIVES 40 200 INDUSTRIAL_MATERIALS FALSE FUEL_ADDITIVES_DESC
12 GEM 120 600 MINERALS FALSE GEM_DESC
13 GOLD 100 500 MINERALS FALSE GOLD_DESC
14 GRAIN 40 200 AGRICULTURE FALSE GRAIN_DESC
15 INDUSTRIAL_CHEMICALS 40 200 INDUSTRIAL_MATERIALS FALSE INDUSTRIAL_CHEMICALS_DESC
16 LAB_GROWN_MEAT 80 300 BIOLOGY FALSE LAB_GROWN_MEAT_DESC
17 MEDICAL_IMAGING_EQUIPMENT 100 500 TECHNOLOGY FALSE MEDICAL_IMAGING_DESC
18 MICROCHIPS 40 200 TECHNOLOGY FALSE MICROCHIPS_DESC
19 NANOBOTS 150 600 ADVANCED_TECHNOLOGY TRUE NANOBOTS_DESC
20 NANOMATERIALS 100 500 TECHNOLOGY FALSE NANOMATERIALS_DESC
21 NUCLEAR_FUEL 190 560 HAZARDOUS_MATERIALS TRUE NUCLEAR_FUEL_DESC
22 ORGANIC_COMPOUNDS 40 200 INDUSTRIAL_MATERIALS FALSE ORGANIC_COMPOUNDS_DESC
23 PERSONAL_AUTOMATION_UNITS 100 500 TECHNOLOGY FALSE PERSONAL_AUTOMATION_DESC
25 PLANT_SEEDS 40 220 AGRICULTURE FALSE PLANT_SEEDS_DESC
26 POLYMERIC_MATERIALS 40 200 INDUSTRIAL_MATERIALS FALSE POLYMERIC_MATERIALS_DESC
27 ROBOTIC_PARTS 400 600 ADVANCED_TECHNOLOGY FALSE ROBOTIC_PARTS_DESC
28 SPACESUIT_COMPONENTS 200 500 ADVANCED_TECHNOLOGY FALSE  SPACESUIT_COMPONENTS_DESC
29 OBSOLETE_TECHNOLOGY 20 800 TECHNOLOGY FALSE OBSOLETE_TECHNOLOGY_DESC
30 SUPERCONDUCTORS 300 500 TECHNOLOGY FALSE SUPERCONDUCTORS_DESC
31 SYNTHETIC_BIOLOGY_KITS 100 500 BIOLOGY FALSE SYNTHETIC_BIOLOGY_DESC
32 TELEPRESENCE_EQUIPMENT 100 500 TECHNOLOGY FALSE TELEPRESENCE_DESC
33 WATER_PURIFICATION_SYSTEMS 40 200 TECHNOLOGY FALSE WATER_PURIFICATION_DESC
34 WEAPONRY 300 700 HAZARDOUS_MATERIALS TRUE WEAPONRY_DESC
35 RARE_EARTH_METALS 80 400 INDUSTRIAL_MATERIALS FALSE RARE_EARTH_METALS_DESC
36 WATER 20 100 INDUSTRIAL_MATERIALS FALSE WATER_DESC
37 ARTIFICIAL_INTELLIGENCE_CORES 200 800 TECHNOLOGY FALSE ARTIFICIAL_INTELLIGENCE_CORES_DESC
38 QUANTUM_COMPUTERS 500 1200 TECHNOLOGY FALSE QUANTUM_COMPUTERS_DESC
39 GENETIC_MATERIAL 80 400 BIOLOGY FALSE GENETIC_MATERIAL_DESC
40 ORGANOIDS 120 600 BIOLOGY FALSE ORGANOIDS_DESC
41 ENERGY_STORAGE_DEVICES 150 700 ADVANCED_TECHNOLOGY FALSE ENERGY_STORAGE_DEVICES_DESC
42 SPACECRAFT_COMPONENTS 250 800 ADVANCED_TECHNOLOGY FALSE SPACECRAFT_COMPONENTS_DESC
43 SILVER 100 400 MINERALS FALSE SILVER_DESC
44 RARE_ARTIFACTS 100 500 MINERALS FALSE RARE_ARTIFACTS_DESC
45 TOXIC_WASTE 50 300 HAZARDOUS_MATERIALS TRUE TOXIC_WASTE_DESC
